epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4630.79,0.76888,0.72551,1.18283,0.93199,0.94295,0.96322,0.78653,0.7777,0.63541,1.31916,0.000600384,0.000600384,0.000600384
43,4756.35,0.78928,0.7403,1.18662,0.92171,0.94288,0.96504,0.77277,0.79544,0.67151,1.34476,0.000580174,0.000580174,0.000580174
44,4887.1,0.78617,0.72701,1.18668,0.92107,0.96656,0.97483,0.78448,0.79559,0.61677,1.36383,0.000559964,0.000559964,0.000559964
45,5015.87,0.79294,0.69991,1.20363,0.94003,0.96842,0.97917,0.77629,0.79992,0.60923,1.32805,0.000539754,0.000539754,0.000539754
46,5141.58,0.7942,0.7256,1.17972,0.97006,0.98551,0.98397,0.76576,0.82334,0.59507,1.39058,0.000519544,0.000519544,0.000519544
47,5268.17,0.78936,0.72247,1.17501,0.96154,0.92045,0.97924,0.77355,0.79099,0.59446,1.37495,0.000499333,0.000499333,0.000499333
48,5394.14,0.80779,0.72183,1.21504,0.92049,0.96957,0.97152,0.7661,0.80352,0.59785,1.37839,0.000479123,0.000479123,0.000479123
49,5519.66,0.76538,0.70707,1.18583,0.9306,0.98269,0.97609,0.79554,0.78571,0.57067,1.34051,0.000458913,0.000458913,0.000458913
50,5646.49,0.75491,0.6798,1.16808,0.90022,0.98551,0.97403,0.80294,0.7772,0.56902,1.312,0.000438703,0.000438703,0.000438703
51,5772.9,0.73116,0.67742,1.15555,0.88249,0.95435,0.97638,0.78461,0.80964,0.62361,1.35488,0.000418493,0.000418493,0.000418493
52,5899.61,0.74829,0.65095,1.19611,0.91117,0.92185,0.96341,0.78867,0.77754,0.61462,1.35043,0.000398283,0.000398283,0.000398283
53,6046.07,0.73405,0.65767,1.16188,0.93504,0.92988,0.94803,0.75021,0.80191,0.61103,1.34094,0.000378073,0.000378073,0.000378073
54,6175.66,0.71178,0.65709,1.16268,0.94371,0.91999,0.93604,0.75416,0.79347,0.62244,1.32263,0.000357862,0.000357862,0.000357862
55,6304.61,0.72597,0.61594,1.13825,0.89598,0.93986,0.94762,0.73289,0.87703,0.69275,1.38605,0.000337652,0.000337652,0.000337652
56,6432.78,0.72822,0.61269,1.14825,0.91529,0.93986,0.95916,0.7748,0.81212,0.60452,1.34557,0.000317442,0.000317442,0.000317442
57,6559.61,0.6797,0.61554,1.1248,0.94418,0.96548,0.96282,0.78646,0.79718,0.58487,1.31748,0.000297232,0.000297232,0.000297232
58,6687.37,0.68322,0.5948,1.1174,0.90428,0.97101,0.96584,0.76797,0.81396,0.58796,1.33632,0.000277022,0.000277022,0.000277022
59,6815.69,0.70417,0.61984,1.13511,0.91628,0.98551,0.96036,0.80094,0.73012,0.54634,1.29109,0.000256812,0.000256812,0.000256812
60,6942.48,0.73609,0.6544,1.14359,0.9295,0.98551,0.95977,0.77866,0.76609,0.55025,1.29767,0.000236602,0.000236602,0.000236602
61,7069.13,0.6702,0.66297,1.13632,0.93686,0.95514,0.95637,0.78808,0.74057,0.57225,1.27886,0.000216391,0.000216391,0.000216391
62,7194.32,0.61479,0.57901,1.10886,0.93015,0.96755,0.95493,0.79139,0.74464,0.6082,1.30979,0.000196181,0.000196181,0.000196181
63,7320.49,0.6014,0.53436,1.11757,0.92368,0.9587,0.95001,0.7636,0.79198,0.60239,1.32448,0.000175971,0.000175971,0.000175971
64,7445.47,0.59,0.52097,1.0794,0.92649,0.98128,0.94418,0.75144,0.7734,0.63498,1.30715,0.000155761,0.000155761,0.000155761
65,7572.68,0.58197,0.4931,1.08965,0.93964,0.95928,0.95182,0.77012,0.74525,0.62425,1.27807,0.000135551,0.000135551,0.000135551
66,7699.2,0.56752,0.50943,1.04817,0.96209,0.9595,0.95717,0.79419,0.72785,0.5672,1.25486,0.000115341,0.000115341,0.000115341
67,7825.22,0.56935,0.48019,1.06383,0.92361,0.96868,0.94957,0.77754,0.75715,0.55689,1.28179,9.51306e-05,9.51306e-05,9.51306e-05
68,7950.99,0.5455,0.46595,1.04832,0.92352,0.96512,0.94468,0.78232,0.74731,0.56525,1.27875,7.49204e-05,7.49204e-05,7.49204e-05
69,8076.52,0.54734,0.45571,1.05038,0.92155,0.96884,0.94564,0.78546,0.72501,0.56262,1.2643,5.47103e-05,5.47103e-05,5.47103e-05
70,8202.4,0.5428,0.46615,1.06274,0.92249,0.96884,0.94152,0.78234,0.72417,0.56359,1.2642,3.45001e-05,3.45001e-05,3.45001e-05
